top - 16:41:39 up  6:49,  4 users,  load average: 0,24, 0,30, 0,40
Tasks: 251 total,   1 running, 250 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,8 us,  3,1 sy,  0,2 ni, 87,0 id,  1,8 wa,  0,1 hi,  0,0 si,  0,0 st
KiB Mem:   3994112 total,  3839280 used,   154832 free,    18248 buffers
KiB Swap:  4139004 total,   252456 used,  3886548 free.   893060 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
27582 heureka   20   0   29144   1556   1080 R  12,6  0,0   0:00.02 top
11510 heureka   20   0 1873472 602376 553844 S   6,3 15,1   5:32.99 VBoxHeadless
15646 heureka   20   0  364684   9404   2776 S   6,3  0,2   0:39.90 ibus-daemon
15858 heureka   20   0   20228    908    736 S   6,3  0,0   0:10.34 syndaemon
18150 heureka   20   0 3722152 391980  22472 S   6,3  9,8  19:01.31 java
    1 root      20   0   33880   2804   1372 S   0,0  0,1   0:01.31 init
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.02 kthreadd
    3 root      20   0       0      0      0 S   0,0  0,0   0:01.68 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S   0,0  0,0   0:58.89 rcu_sched
    8 root      20   0       0      0      0 S   0,0  0,0   0:12.84 rcuos/0
    9 root      20   0       0      0      0 S   0,0  0,0   0:09.56 rcuos/1
   10 root      20   0       0      0      0 S   0,0  0,0   0:14.60 rcuos/2
   11 root      20   0       0      0      0 S   0,0  0,0   0:09.47 rcuos/3
   12 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuos/4
   13 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuos/5
   14 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuos/6
   15 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuos/7
   16 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcu_bh
   17 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/0
   18 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/1
   19 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/2
   20 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/3
   21 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/4
   22 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/5
   23 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/6
   24 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcuob/7
   25 root      rt   0       0      0      0 S   0,0  0,0   0:46.32 migration/0
   26 root      rt   0       0      0      0 S   0,0  0,0   0:00.19 watchdog/0
   27 root      rt   0       0      0      0 S   0,0  0,0   0:00.26 watchdog/1
   28 root      rt   0       0      0      0 S   0,0  0,0   0:07.02 migration/1
   29 root      20   0       0      0      0 S   0,0  0,0   0:00.12 ksoftirqd/1
   31 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/1:0H
   32 root      rt   0       0      0      0 S   0,0  0,0   0:00.19 watchdog/2
   33 root      rt   0       0      0      0 S   0,0  0,0   0:33.54 migration/2
   34 root      20   0       0      0      0 S   0,0  0,0   0:00.35 ksoftirqd/2
   36 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/2:0H
   37 root      rt   0       0      0      0 S   0,0  0,0   0:00.18 watchdog/3
   38 root      rt   0       0      0      0 S   0,0  0,0   0:11.97 migration/3
   39 root      20   0       0      0      0 S   0,0  0,0   0:00.18 ksoftirqd/3
   41 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/3:0H
   42 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 khelper
   43 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kdevtmpfs
   44 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 netns
   45 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 writeback
   46 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kintegrityd
   47 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 bioset
   49 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kblockd
   51 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 ata_sff
   52 root      20   0       0      0      0 S   0,0  0,0   0:00.00 khubd
   53 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 md
